mun_resid,count
Abasolo,4
Acámbaro,7
Apaseo el Alto,5
Apaseo el Grande,8
Atarjea,0
Celaya,40
Comonfort,7
Coroneo,0
Cortazar,8
Cuerámaro,2
Doctor Mora,1
Dolores Hidalgo Cuna de la Independencia Nacional,11
Guanajuato,24
Huanímaro,0
Irapuato,45
Jaral del Progreso,8
Jerécuaro,5
León,150
Manuel Doblado,2
Moroleón,2
Municipio no especificado,0
Ocampo,2
Pueblo Nuevo,1
Purísima del Rincón,7
Pénjamo,8
Romita,4
Salamanca,29
Salvatierra,6
San Diego de la Unión,0
San Felipe,5
San Francisco del Rincón,17
San José Iturbide,1
San Luis de la Paz,7
San Miguel de Allende,14
Santa Catarina,0
Santa Cruz de Juventino Rosas,11
Santiago Maravatío,1
Silao de la Victoria,22
Tarandacuao,0
Tarimoro,4
Tierra Blanca,1
Uriangato,2
Valle de Santiago,16
Victoria,0
Villagrán,2
Xichú,0
Yuriria,5
